"date","type","bottom","top","lower","upper","median","mean","rt_type"
2020-02-14,"nowcast",1,1,1,1,1,1,NA
2020-02-15,"nowcast",0,1,0,1,0.5,0.5,NA
2020-02-16,"nowcast",0,1,0,0,0,0.333333333333333,NA
2020-02-17,"nowcast",0,1,0,0,0,0.333333333333333,NA
2020-02-18,"nowcast",0,1,0,0,0,0.2,NA
2020-02-19,"nowcast",0,1,0,0,0,0.166666666666667,NA
2020-02-20,"nowcast",0,1,0,0,0,0.266666666666667,NA
2020-02-21,"nowcast",0,1,0,0,0,0.347826086956522,NA
2020-02-22,"nowcast",0,1,0,0,0,0.382352941176471,NA
2020-02-23,"nowcast",0,1,0,0,0,0.340909090909091,NA
2020-02-24,"nowcast",0,1,0,0,0,0.322033898305085,NA
2020-02-25,"nowcast",0,1,0,0,0,0.392405063291139,NA
2020-02-26,"nowcast",0,1,0,0,0,0.444444444444444,NA
2020-02-27,"nowcast",0,1,0,0,0,0.391304347826087,NA
2020-02-28,"nowcast",0,1,0,0,0,0.451086956521739,NA
2020-02-29,"nowcast",0,1,0,0,0,0.385281385281385,NA
2020-03-01,"nowcast",0,1,0,0,0,0.443298969072165,NA
2020-03-02,"nowcast",0,1,0,0,0,0.491477272727273,NA
2020-03-03,"nowcast",0,1,0,0,0,0.547785547785548,NA
2020-03-04,"nowcast",0,1,0,0,0,0.584645669291339,NA
2020-03-05,"nowcast",0,2,0,0,0,0.620401337792642,NA
2020-03-06,"nowcast",0,2,0,1,1,0.775480059084195,NA
2020-03-07,"nowcast",0,2,0,1,1,0.866225165562914,NA
2020-03-08,"nowcast",0,2,0,1,1,0.979368932038835,NA
2020-03-09,"nowcast",0,3,0,1,1,1.28669724770642,NA
2020-03-10,"nowcast",0,3,0,1,1,1.45792349726776,NA
2020-03-11,"nowcast",0,4,0,1,1,1.76285414480588,NA
2020-03-12,"nowcast",0,5,0,2,2,2.31384615384615,NA
2020-03-13,"nowcast",0,6,0,2,2,2.78014184397163,NA
2020-03-14,"nowcast",0,7,1,3,3,3.51004016064257,NA
2020-03-15,"nowcast",0,8,1,4,4,4.30260521042084,NA
2020-03-16,"nowcast",0,10,1,5,5,5.299,NA
2020-03-17,"nowcast",2,12,2,6,6,6.58,NA
2020-03-18,"nowcast",1,13,3,8,8,8.235,NA
2020-03-19,"nowcast",2,16,6,11,10,10.217,NA
2020-03-20,"nowcast",5,20,7,13,12,12.489,NA
2020-03-21,"nowcast",6,23,9,16,15,15.229,NA
2020-03-22,"nowcast",8,27,10,18,18,18.471,NA
2020-03-23,"nowcast",10,32,15,23,21,21.671,NA
2020-03-24,"nowcast",14,38,19,28,25,26.06,NA
2020-03-25,"nowcast",16,41,23,33,30,30.377,NA
2020-03-26,"nowcast",21,48,25,36,34.5,35.271,NA
2020-03-27,"nowcast",24,54,30,42,40,40.161,NA
2020-03-28,"nowcast",27,58,35,48,45,45.351,NA
2020-03-29,"nowcast",34,67,42,55,51,51.092,NA
2020-03-30,"nowcast",39,75,46,60,56,56.8,NA
2020-03-31,"nowcast",44,80,50,65,62,63.045,NA
2020-04-01,"nowcast",52,90,62,77,70,70.633,NA
2020-04-02,"nowcast",56,97,69,84,78,79.06,NA
2020-04-03,"nowcast",63,107,77,94,87,87.407,NA
2020-04-04,"nowcast",73,117,84,101,94.5,95.019,NA
2020-04-05,"nowcast",82,128,92,109,103,103.581,NA
2020-04-06,"nowcast",87,133,97,116,111,111.729,NA
2020-04-07,"nowcast",92,143,106,126,119,119.9,NA
2020-04-08,"nowcast",103,152,114,135,128,127.898,NA
2020-04-09,"nowcast",113,165,123,144,136,137.013,NA
2020-04-10,"nowcast",118,170,133,154,145,145.932,NA
2020-04-11,"nowcast",131,186,141,163,156,156.859,NA
2020-04-12,"nowcast",142,198,150,172,165,166.307,NA
2020-04-13,"nowcast",147,204,164,186,175.5,175.83,NA
2020-04-14,"nowcast",153,212,168,192,185,184.937,NA
2020-04-15,"nowcast",165,224,178,203,194,194.64,NA
2020-04-16,"nowcast",174,234,191,214,205,205.577,NA
2020-04-17,"nowcast",186,248,202,226,216,215.527,NA
2020-04-18,"nowcast",194,253,211,235,225,225.008,NA
2020-04-19,"nowcast",205,266,219,244,236,235.945,NA
2020-04-20,"nowcast",213,277,229,255,245,245.842,NA
2020-04-21,"nowcast",220,285,242,267,254,253.885,NA
2020-04-22,"nowcast",229,295,248,274,263,263.169,NA
2020-04-23,"nowcast",237,305,256,282,271,270.959,NA
2020-04-24,"nowcast",245,310,267,293,280,279.982,NA
2020-04-25,"nowcast",252,320,267,295,288,288.306,NA
2020-04-26,"nowcast",256,326,277,305,296,295.897,NA
2020-04-27,"nowcast",266,336,287,314,303,302.702,NA
2020-04-28,"nowcast",268,342,291,320,308.5,307.984,NA
2020-04-29,"nowcast",274,349,301,331,317,317.129,NA
2020-04-30,"nowcast",280,360,303,335,326,325.991,NA
2020-05-01,"nowcast",297,373,320,351,340,339.155,NA
2020-05-02,"nowcast",312,391,336,367,352,351.884,NA
2020-05-03,"nowcast",327,399,348,379,365,364.494,NA
2020-05-04,"nowcast",335,407,356,385,373,372.805,NA
2020-05-05,"nowcast",342,418,360,391,380.5,380.18,NA
2020-05-06,"nowcast",342,421,364,395,385,384.496,NA
2020-05-07,"nowcast",353,435,371,405,393,393.315,NA
2020-05-08,"nowcast",360,439,379,414,404,403.557,NA
2020-05-09,"nowcast",373,454,399,429,416,416.003,NA
2020-05-10,"nowcast",385,465,409,442,428,427.403,NA
2020-05-11,"nowcast",398,473,414,446,437,437.814,NA
2020-05-12,"nowcast",405,478,425,455,440.5,440.516,NA
2020-05-13,"nowcast",396,472,418,449,434,434.186,NA
2020-05-14,"nowcast",381,457,404,434,423,423.41,NA
2020-05-15,"nowcast",370,443,394,424,409,408.875,NA
2020-05-16,"nowcast",359,434,381,410,396,396.134,NA
2020-05-17,"nowcast",339,415,365,394,381,381.972,NA
2020-05-18,"nowcast",324,394,342,371,358,359.188,NA
2020-05-19,"nowcast",299,366,317,345,334,334.593,NA
2020-05-20,"nowcast",282,344,298,323,312,312.229,NA
2020-05-21,"nowcast",262,323,278,303,294,294.604,NA
2020-05-22,"nowcast",253,316,270,295,287,287.129,NA
2020-05-23,"nowcast",253,318,271,296,286,286.179,NA
2020-05-24,"nowcast",249,316,269,295,286,286.494,NA
2020-05-25,"nowcast",250,322,271,300,286.5,287.221,NA
2020-05-26,"nowcast",245,331,268,303,288,288.006,NA
2020-05-27,"nowcast",232,340,261,302,289.5,292.058,NA
2020-03-28,"Observed by report date",NA,NA,NA,NA,0,NA,NA
2020-03-29,"Observed by report date",NA,NA,NA,NA,4,NA,NA
2020-03-30,"Observed by report date",NA,NA,NA,NA,3,NA,NA
