region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
RN-Açu,2019-11-14,1,1,1,1,1,1
RN-Açu,2019-11-15,0,0,0,0,0,1
RN-Açu,2019-11-16,0,0,0,0,0,1
RN-Açu,2019-11-17,0,0,0,0,0,1
RN-Açu,2019-11-18,0,0,0,0,0,1
RN-Açu,2019-11-19,0,0,0,0,0,1
RN-Açu,2019-11-20,0,0,0,0,0,1
RN-Açu,2019-11-21,0,0,0,0,0,1
RN-Açu,2019-11-22,0,0,0,0,0,1
RN-Açu,2019-11-23,0,0,0,0,0,1
RN-Açu,2019-11-24,0,0,0,0,0,1
RN-Açu,2019-11-25,0,0,0,0,0,1
RN-Açu,2019-11-26,0,0,0,0,0,1
RN-Açu,2019-11-27,0,0,0,0,0,1
RN-Açu,2019-11-28,0,0,0,0,0,1
RN-Açu,2019-11-29,0,0,0,0,0,1
RN-Açu,2019-11-30,0,0,0,0,0,1
RN-Açu,2019-12-01,0,0,0,0,0,1
RN-Açu,2019-12-02,0,0,0,0,0,1
RN-Açu,2019-12-03,0,0,0,0,0,1
RN-Açu,2019-12-04,0,0,0,0,0,1
RN-Açu,2019-12-05,0,0,0,0,0,1
RN-Açu,2019-12-06,0,0,0,0,0,1
RN-Açu,2019-12-07,0,0,0,0,0,1
RN-Açu,2019-12-08,0,0,0,0,0,1
RN-Açu,2019-12-09,0,0,0,0,0,1
RN-Açu,2019-12-10,0,0,0,0,0,1
RN-Açu,2019-12-11,0,0,0,0,0,1
RN-Açu,2019-12-12,0,0,0,0,0,1
RN-Açu,2019-12-13,0,0,0,0,0,1
RN-Açu,2019-12-14,0,0,0,0,0,1
RN-Açu,2019-12-15,0,0,0,0,0,1
RN-Açu,2019-12-16,0,0,0,0,0,1
RN-Açu,2019-12-17,0.5,0,1,0,1,1
RN-Açu,2019-12-18,0,0,0,0,0,1
RN-Açu,2019-12-19,0.5,0,1,0,1,1
RN-Açu,2019-12-20,0,0,0,0,0,1
RN-Açu,2019-12-21,0,0,1,0,0,1
RN-Açu,2019-12-22,0,0,0,0,0,1
RN-Açu,2019-12-23,0,0,1,0,0,1
RN-Açu,2019-12-24,0,0,1,0,0,1
