region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
BA-Alagoinhas,2020-05-15,nowcast,1.5,0.6,2.4,1,1.7,0.15
BA-Alagoinhas,2020-05-16,nowcast,1.5,0.7,2.4,1,1.7,0.14
BA-Alagoinhas,2020-05-17,nowcast,1.5,0.6,2.3,1.1,1.7,0.14
BA-Alagoinhas,2020-05-18,nowcast,1.5,0.7,2.3,1.1,1.7,0.12
BA-Alagoinhas,2020-05-19,nowcast,1.5,0.7,2.2,1.1,1.7,0.12
BA-Alagoinhas,2020-05-20,nowcast,1.4,0.8,2.1,1.1,1.6,0.11
BA-Alagoinhas,2020-05-21,nowcast,1.4,0.8,2.1,1.1,1.6,0.12
BA-Alagoinhas,2020-05-22,nowcast,1.4,0.8,2.1,1.1,1.5,0.12
BA-Alagoinhas,2020-05-23,nowcast,1.4,0.7,2,1.1,1.6,0.12
BA-Alagoinhas,2020-05-24,nowcast,1.4,0.8,2,1.1,1.5,0.12
BA-Alagoinhas,2020-05-25,nowcast,1.3,0.8,1.9,1.1,1.5,0.12
BA-Alagoinhas,2020-05-26,nowcast,1.3,0.7,1.8,1.1,1.5,0.12
BA-Alagoinhas,2020-05-27,nowcast,1.3,0.8,1.8,1.1,1.5,0.14
BA-Alagoinhas,2020-05-28,nowcast,1.3,0.8,1.8,1.1,1.4,0.14
BA-Alagoinhas,2020-05-29,nowcast,1.2,0.8,1.7,1,1.4,0.19
BA-Alagoinhas,2020-05-30,nowcast,1.2,0.7,1.6,1,1.4,0.24
BA-Alagoinhas,2020-05-31,nowcast,1.1,0.7,1.5,1,1.3,0.31
BA-Alagoinhas,2020-06-01,nowcast,1.1,0.6,1.4,0.9,1.2,0.39
BA-Alagoinhas,2020-06-02,nowcast,1,0.6,1.4,0.9,1.2,0.49
BA-Alagoinhas,2020-06-03,nowcast,1,0.6,1.3,0.8,1.1,0.58
BA-Alagoinhas,2020-06-04,nowcast,0.9,0.5,1.3,0.8,1.1,0.62
BA-Alagoinhas,2020-06-05,nowcast,0.9,0.6,1.3,0.8,1.1,0.61
BA-Alagoinhas,2020-06-06,nowcast,1,0.6,1.4,0.8,1.1,0.55
BA-Alagoinhas,2020-06-07,nowcast,1,0.7,1.5,0.8,1.1,0.45
BA-Alagoinhas,2020-06-08,nowcast,1.1,0.7,1.5,0.9,1.2,0.38
BA-Alagoinhas,2020-06-09,nowcast,1.1,0.7,1.6,0.9,1.3,0.29
BA-Alagoinhas,2020-06-10,nowcast,1.2,0.8,1.6,1,1.3,0.24
BA-Alagoinhas,2020-06-11,nowcast,1.2,0.8,1.7,1,1.3,0.18
