"region","date","type","bottom","top","lower","upper","median","mean"
"PB-Tenório",2020-03-20,"nowcast",1,1,1,1,1,1
"PB-Tenório",2020-03-21,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-22,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-23,"nowcast",0,1,0,1,0.5,0.5
"PB-Tenório",2020-03-24,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-25,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-26,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-27,"nowcast",0,1,0,0,0,0.333333333333333
"PB-Tenório",2020-03-28,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-29,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-30,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-03-31,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-01,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-02,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-03,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-04,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-05,"nowcast",0,1,0,0,0,0.25
"PB-Tenório",2020-04-06,"nowcast",0,1,0,0,0,0.4
"PB-Tenório",2020-04-07,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-08,"nowcast",0,1,0,0,0,0.2
"PB-Tenório",2020-04-09,"nowcast",0,1,0,0,0,0.166666666666667
"PB-Tenório",2020-04-10,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-11,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-12,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-13,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-14,"nowcast",0,1,0,0,0,0.25
"PB-Tenório",2020-04-15,"nowcast",0,0,0,0,0,0
"PB-Tenório",2020-04-16,"nowcast",0,1,0,0,0,0.3
