"region","date","type","bottom","top","lower","upper","median","mean"
"MA-Açailândia",2020-02-27,"nowcast",1,1,1,1,1,1
"MA-Açailândia",2020-02-28,"nowcast",0,1,1,1,1,0.666666666666667
"MA-Açailândia",2020-02-29,"nowcast",0,1,0,0,0,0.25
"MA-Açailândia",2020-03-01,"nowcast",0,1,0,0,0,0.333333333333333
"MA-Açailândia",2020-03-02,"nowcast",0,1,0,0,0,0.25
"MA-Açailândia",2020-03-03,"nowcast",0,1,0,0,0,0.3
"MA-Açailândia",2020-03-04,"nowcast",0,1,0,0,0,0.333333333333333
"MA-Açailândia",2020-03-05,"nowcast",0,1,0,0,0,0.142857142857143
"MA-Açailândia",2020-03-06,"nowcast",0,1,0,0,0,0.277777777777778
"MA-Açailândia",2020-03-07,"nowcast",0,1,0,0,0,0.15
"MA-Açailândia",2020-03-08,"nowcast",0,1,0,0,0,0.217391304347826
"MA-Açailândia",2020-03-09,"nowcast",0,1,0,0,0,0.3
"MA-Açailândia",2020-03-10,"nowcast",0,1,0,0,0,0.176470588235294
"MA-Açailândia",2020-03-11,"nowcast",0,1,0,0,0,0.340425531914894
"MA-Açailândia",2020-03-12,"nowcast",0,1,0,0,0,0.245614035087719
"MA-Açailândia",2020-03-13,"nowcast",0,1,0,0,0,0.236111111111111
"MA-Açailândia",2020-03-14,"nowcast",0,1,0,0,0,0.192771084337349
"MA-Açailândia",2020-03-15,"nowcast",0,1,0,0,0,0.257142857142857
"MA-Açailândia",2020-03-16,"nowcast",0,1,0,0,0,0.228346456692913
"MA-Açailândia",2020-03-17,"nowcast",0,1,0,0,0,0.31055900621118
"MA-Açailândia",2020-03-18,"nowcast",0,1,0,0,0,0.256544502617801
"MA-Açailândia",2020-03-19,"nowcast",0,1,0,0,0,0.251101321585903
"MA-Açailândia",2020-03-20,"nowcast",0,1,0,0,0,0.254545454545455
"MA-Açailândia",2020-03-21,"nowcast",0,1,0,0,0,0.236363636363636
"MA-Açailândia",2020-03-22,"nowcast",0,1,0,0,0,0.246753246753247
"MA-Açailândia",2020-03-23,"nowcast",0,1,0,0,0,0.211494252873563
"MA-Açailândia",2020-03-24,"nowcast",0,1,0,0,0,0.221327967806841
"MA-Açailândia",2020-03-25,"nowcast",0,1,0,0,0,0.18491921005386
"MA-Açailândia",2020-03-26,"nowcast",0,1,0,0,0,0.207177814029364
"MA-Açailândia",2020-03-27,"nowcast",0,1,0,0,0,0.157492354740061
"MA-Açailândia",2020-03-28,"nowcast",0,1,0,0,0,0.175287356321839
"MA-Açailândia",2020-03-29,"nowcast",0,1,0,0,0,0.147742818057456
"MA-Açailândia",2020-03-30,"nowcast",0,1,0,0,0,0.171730515191546
"MA-Açailândia",2020-03-31,"nowcast",0,1,0,0,0,0.181001283697047
"MA-Açailândia",2020-04-01,"nowcast",0,1,0,0,0,0.192592592592593
"MA-Açailândia",2020-04-02,"nowcast",0,1,0,0,0,0.236842105263158
"MA-Açailândia",2020-04-03,"nowcast",0,1,0,0,0,0.287209302325581
"MA-Açailândia",2020-04-04,"nowcast",0,1,0,0,0,0.387458006718925
"MA-Açailândia",2020-04-05,"nowcast",0,1,0,0,0,0.405077262693157
"MA-Açailândia",2020-04-06,"nowcast",0,1,0,0,0,0.507543103448276
"MA-Açailândia",2020-04-07,"nowcast",0,2,0,0,0,0.629863301787592
"MA-Açailândia",2020-04-08,"nowcast",0,2,0,1,1,0.762150982419855
"MA-Açailândia",2020-04-09,"nowcast",0,2,0,1,1,0.862104187946885
"MA-Açailândia",2020-04-10,"nowcast",0,2,0,1,1,1.03850050658561
"MA-Açailândia",2020-04-11,"nowcast",0,3,0,1,1,1.202416918429
"MA-Açailândia",2020-04-12,"nowcast",0,3,0,1,1,1.33835341365462
"MA-Açailândia",2020-04-13,"nowcast",0,3,0,1,1,1.664
"MA-Açailândia",2020-04-14,"nowcast",0,3,1,2,2,1.716
"MA-Açailândia",2020-04-15,"nowcast",0,4,1,2,2,1.948
"MA-Açailândia",2020-04-16,"nowcast",0,4,1,2,2,2.168
"MA-Açailândia",2020-04-17,"nowcast",0,4,1,2,2,2.322
"MA-Açailândia",2020-04-18,"nowcast",0,4,0,2,2,2.42
"MA-Açailândia",2020-04-19,"nowcast",0,5,0,2,2,2.604
"MA-Açailândia",2020-04-20,"nowcast",0,5,1,3,3,2.861
"MA-Açailândia",2020-04-21,"nowcast",0,6,1,3,3,3.252
"MA-Açailândia",2020-04-22,"nowcast",0,6,2,4,3,3.633
"MA-Açailândia",2020-04-23,"nowcast",1,7,2,4,4,4.262
"MA-Açailândia",2020-04-24,"nowcast",1,8,2,5,5,4.769
"MA-Açailândia",2020-04-25,"nowcast",2,9,2,5,5,5.429
"MA-Açailândia",2020-04-26,"nowcast",1,9,3,6,6,6.046
"MA-Açailândia",2020-04-27,"nowcast",2,11,4,7,7,6.962
"MA-Açailândia",2020-04-28,"nowcast",3,12,4,8,8,7.843
"MA-Açailândia",2020-04-29,"nowcast",3,13,6,9,8,8.699
"MA-Açailândia",2020-04-30,"nowcast",3,14,6,10,10,9.837
"MA-Açailândia",2020-05-01,"nowcast",5,16,8,12,11,11.078
"MA-Açailândia",2020-05-02,"nowcast",5,17,9,13,12,12.382
"MA-Açailândia",2020-05-03,"nowcast",6,19,9,14,13,13.635
"MA-Açailândia",2020-05-04,"nowcast",7,21,11,16,14,14.761
"MA-Açailândia",2020-05-05,"nowcast",8,23,12,17,16,16.182
"MA-Açailândia",2020-05-06,"nowcast",9,25,13,19,18,17.916
"MA-Açailândia",2020-05-07,"nowcast",10,28,13,20,19,19.77
"MA-Açailândia",2020-05-08,"nowcast",12,31,18,25,22,22.039
"MA-Açailândia",2020-05-09,"nowcast",13,33,18,26,24,24.674
"MA-Açailândia",2020-05-10,"nowcast",16,39,22,30,27,27.927
"MA-Açailândia",2020-05-11,"nowcast",20,43,26,35,32,31.989
"MA-Açailândia",2020-05-12,"nowcast",23,48,27,38,36,36.348
"MA-Açailândia",2020-05-13,"nowcast",27,53,33,44,41,41.246
"MA-Açailândia",2020-05-14,"nowcast",32,60,39,50,47,46.956
"MA-Açailândia",2020-05-15,"nowcast",38,66,43,55,52,52.694
"MA-Açailândia",2020-05-16,"nowcast",46,75,52,63,59,58.74
"MA-Açailândia",2020-05-17,"nowcast",50,77,59,70,65,64.557
"MA-Açailândia",2020-05-18,"nowcast",54,82,65,76,70,69.38
"MA-Açailândia",2020-05-19,"nowcast",58,87,65,77,74,73.816
"MA-Açailândia",2020-05-20,"nowcast",64,91,72,83,78,77.56
"MA-Açailândia",2020-05-21,"nowcast",67,95,71,83,80,80.081
"MA-Açailândia",2020-05-22,"nowcast",68,97,77,89,83,82.918
"MA-Açailândia",2020-05-23,"nowcast",70,101,77,89,86,86.639
"MA-Açailândia",2020-05-24,"nowcast",72,102,82,94,90,89.665
"MA-Açailândia",2020-05-25,"nowcast",76,106,83,96,93,93.071
"MA-Açailândia",2020-05-26,"nowcast",78,110,84,98,95,95.604
"MA-Açailândia",2020-05-27,"nowcast",77,112,85,99,95,95.704
"MA-Açailândia",2020-05-28,"nowcast",77,112,86,100,95,94.961
"MA-Açailândia",2020-05-29,"nowcast",74,112,80,96,93,93.052
"MA-Açailândia",2020-05-30,"nowcast",65,106,76,93,87,87.288
"MA-Açailândia",2020-05-31,"nowcast",58,99,66,82,77,78.124
"MA-Açailândia",2020-06-01,"nowcast",45,84,56,71,66,66.31
"MA-Açailândia",2020-06-02,"nowcast",40,70,47,59,54,54.82
"MA-Açailândia",2020-06-03,"nowcast",33,57,38,48,45,45.486
"MA-Açailândia",2020-06-04,"nowcast",29,50,35,43,40,39.941
"MA-Açailândia",2020-06-05,"nowcast",29,47,34,41,37,37.305
"MA-Açailândia",2020-06-06,"nowcast",25,44,31,38,36,36.381
"MA-Açailândia",2020-06-07,"nowcast",27,45,31,38,36,36.293
"MA-Açailândia",2020-06-08,"nowcast",27,46,29,37,36,36.444
"MA-Açailândia",2020-06-09,"nowcast",26,44,32,39,36,36.211
"MA-Açailândia",2020-06-10,"nowcast",27,46,35,42,38,37.579
"MA-Açailândia",2020-06-11,"nowcast",27,46,33,40,38,37.65
"MA-Açailândia",2020-06-12,"nowcast",26,46,30,39,38,37.56
"MA-Açailândia",2020-06-13,"nowcast",26,46,32,40,37,36.706
"MA-Açailândia",2020-06-14,"nowcast",24,44,29,37,34,34.774
"MA-Açailândia",2020-06-15,"nowcast",21,40,26,34,31,31.407
"MA-Açailândia",2020-06-16,"nowcast",18,37,23,30,28,28.33
"MA-Açailândia",2020-06-17,"nowcast",17,33,19,26,25,25.546
"MA-Açailândia",2020-06-18,"nowcast",16,31,20,26,24,23.677
"MA-Açailândia",2020-06-19,"nowcast",15,30,17,23,22,22.335
"MA-Açailândia",2020-06-20,"nowcast",14,28,16,22,21,20.685
"MA-Açailândia",2020-06-21,"nowcast",11,25,14,20,19,18.711
"MA-Açailândia",2020-06-22,"nowcast",11,23,12,17,16,16.451
"MA-Açailândia",2020-06-23,"nowcast",8,20,12,16,14,14.097
"MA-Açailândia",2020-06-24,"nowcast",7,18,10,14,13,12.791
"MA-Açailândia",2020-06-25,"nowcast",6,17,9,13,12,12.177
"MA-Açailândia",2020-06-26,"nowcast",6,17,9,13,12,12.449
"MA-Açailândia",2020-06-27,"nowcast",7,18,10,14,13,13.055
"MA-Açailândia",2020-06-28,"nowcast",8,19,11,15,13,13.723
"MA-Açailândia",2020-06-29,"nowcast",8,20,10,15,14,14.279
"MA-Açailândia",2020-06-30,"nowcast",8,21,11,16,15,15.008
"MA-Açailândia",2020-07-01,"nowcast",9,23,11,17,16,16.437
"MA-Açailândia",2020-07-02,"nowcast",9,24,13,19,18,18.225
"MA-Açailândia",2020-07-03,"nowcast",11,28,16,22,20,20.668
