"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"MA-Açailândia","31 (17 -- 41)","Likely increasing","1.3 (0.9 -- 1.7)","7.6 (3.9 -- 110)"
"MA-Aldeias Altas","20 (10 -- 27)","Unsure","1.1 (0.8 -- 1.5)","21 (5.5 -- -12)"
"MA-Alto Alegre do Pindaré","9 (3 -- 14)","Likely increasing","1.8 (0.9 -- 2.7)","3.9 (2 -- -2300)"
"MA-Amarante do Maranhão","12 (4 -- 19)","Unsure","1.2 (0.7 -- 1.7)","17 (3.9 -- -7.3)"
"MA-Arame","14 (6 -- 20)","Decreasing","0.7 (0.5 -- 1)","-7 (-630 -- -3.6)"
"MA-Bacabal","19 (7 -- 32)","Unsure","1 (0.6 -- 1.4)","-82 (6 -- -5.5)"
"MA-Balsas","92 (71 -- 109)","Likely increasing","1.1 (1 -- 1.3)","26 (9.8 -- -39)"
"MA-Barra do Corda","26 (9 -- 41)","Unsure","0.9 (0.6 -- 1.3)","-28 (8.9 -- -5.8)"
"MA-Bom Jardim","19 (8 -- 27)","Likely increasing","1.4 (0.9 -- 1.9)","7.9 (3.5 -- -29)"
"MA-Bom Jesus das Selvas","17 (8 -- 23)","Unsure","0.9 (0.6 -- 1.2)","-26 (11 -- -5.9)"
"MA-Buriticupu","22 (14 -- 31)","Unsure","1.2 (0.8 -- 1.5)","14 (5.1 -- -17)"
"MA-Caxias","46 (31 -- 57)","Unsure","1 (0.8 -- 1.2)","77 (11 -- -15)"
"MA-Centro do Guilherme","49 (20 -- 71)","Increasing","1.6 (1.1 -- 2)","5.8 (3.3 -- 22)"
"MA-Centro Novo do Maranhão","14 (4 -- 21)","Unsure","1.2 (0.7 -- 1.7)","21 (4.6 -- -8.2)"
"MA-Chapadinha","12 (5 -- 18)","Unsure","1 (0.5 -- 1.4)","-67 (6 -- -5)"
"MA-Coelho Neto","11 (3 -- 16)","Unsure","1 (0.6 -- 1.4)","310 (5.3 -- -5.5)"
"MA-Colinas","16 (8 -- 23)","Unsure","1 (0.7 -- 1.3)","-320 (7.2 -- -6.8)"
"MA-Coroatá","18 (9 -- 26)","Increasing","1.6 (1 -- 2.1)","5.3 (2.8 -- 45)"
"MA-Cururupu","12 (5 -- 18)","Unsure","1.2 (0.7 -- 1.6)","42 (5.2 -- -7.1)"
"MA-Estreito","13 (5 -- 19)","Likely decreasing","0.9 (0.5 -- 1.2)","-12 (15 -- -4.3)"
"MA-Fernando Falcão","15 (6 -- 21)","Likely increasing","1.3 (0.8 -- 1.8)","9.2 (3.6 -- -17)"
"MA-Formosa da Serra Negra","15 (8 -- 22)","Unsure","0.9 (0.6 -- 1.2)","-19 (13 -- -5.3)"
"MA-Grajaú","21 (11 -- 28)","Unsure","1 (0.7 -- 1.2)","-140 (8.7 -- -7.7)"
"MA-Igarapé Grande","11 (3 -- 17)","Unsure","1.2 (0.7 -- 1.7)","9.7 (3.4 -- -11)"
"MA-Imperatriz","22 (12 -- 30)","Unsure","1 (0.7 -- 1.3)","-280 (8.8 -- -8.3)"
"MA-Itapecuru Mirim","12 (5 -- 18)","Likely increasing","1.3 (0.8 -- 1.7)","9.9 (3.5 -- -14)"
"MA-Jenipapo dos Vieiras","27 (11 -- 41)","Likely increasing","1.4 (0.9 -- 1.8)","8.1 (3.7 -- -50)"
"MA-Magalhães de Almeida","22 (5 -- 37)","Unsure","1.2 (0.8 -- 1.7)","16 (4.2 -- -9.6)"
"MA-Mirador","24 (14 -- 34)","Likely increasing","1.4 (1 -- 1.8)","8.4 (3.9 -- -49)"
"MA-Paulo Ramos","14 (5 -- 22)","Unsure","1.2 (0.7 -- 1.7)","28 (4.7 -- -7.1)"
"MA-Pedreiras","13 (5 -- 20)","Unsure","1.3 (0.7 -- 1.9)","8.8 (3.2 -- -11)"
"MA-Pinheiro","17 (9 -- 23)","Unsure","1 (0.7 -- 1.3)","-63 (8.5 -- -6.6)"
"MA-Poção de Pedras","16 (7 -- 23)","Unsure","1 (0.6 -- 1.3)","-39 (9 -- -6.1)"
"MA-Porto Franco","15 (7 -- 22)","Unsure","1.1 (0.7 -- 1.5)","31 (5.3 -- -8.4)"
"MA-Presidente Dutra","13 (5 -- 18)","Unsure","1.2 (0.8 -- 1.7)","11 (3.8 -- -11)"
"MA-Santa Inês","14 (7 -- 20)","Unsure","1.1 (0.7 -- 1.5)","17 (4.6 -- -10)"
"MA-Santa Luzia","19 (10 -- 27)","Unsure","1 (0.7 -- 1.3)","88 (7 -- -8.5)"
"MA-São Benedito do Rio Preto","8 (3 -- 13)","Unsure","1 (0.5 -- 1.4)","-97 (5.2 -- -4.7)"
"MA-São Bernardo","8 (2 -- 14)","Unsure","1.1 (0.6 -- 1.6)","27 (3.9 -- -5.5)"
"MA-São Domingos do Maranhão","18 (9 -- 25)","Unsure","0.9 (0.6 -- 1.2)","-21 (11 -- -5.5)"
"MA-São João do Soter","11 (4 -- 16)","Unsure","1.1 (0.6 -- 1.5)","-170 (5.8 -- -5.4)"
"MA-São João dos Patos","17 (8 -- 24)","Unsure","0.9 (0.6 -- 1.3)","-36 (8.9 -- -6)"
"MA-São Luís","107 (87 -- 127)","Unsure","1 (0.9 -- 1.2)","69 (15 -- -24)"
"MA-São Luís Gonzaga do Maranhão","26 (6 -- 44)","Unsure","1.2 (0.6 -- 1.6)","16 (4.2 -- -8.4)"
"MA-São Mateus do Maranhão","12 (5 -- 17)","Likely increasing","1.3 (0.7 -- 1.9)","7.2 (2.9 -- -15)"
"MA-São Raimundo das Mangabeiras","38 (22 -- 52)","Unsure","1 (0.8 -- 1.3)","-64 (11 -- -8.2)"
"MA-Timon","92 (73 -- 108)","Increasing","1.5 (1.2 -- 1.8)","5.5 (3.8 -- 10)"
"MA-Tuntum","14 (6 -- 21)","Unsure","1.1 (0.7 -- 1.5)","110 (5.7 -- -6.5)"
"MA-Urbano Santos","25 (9 -- 40)","Unsure","1.2 (0.7 -- 1.6)","16 (4.7 -- -11)"
"MA-Vargem Grande","8 (3 -- 13)","Likely increasing","1.5 (0.8 -- 2.3)","5 (2.3 -- -22)"
"MA-Vitorino Freire","15 (6 -- 22)","Unsure","1.2 (0.8 -- 1.6)","19 (4.6 -- -9.1)"
"MA-Zé Doca","15 (7 -- 21)","Unsure","1 (0.6 -- 1.3)","220 (6.6 -- -7)"
