"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"PE-Agrestina","18 (9 -- 26)","Likely increasing","1.3 (0.9 -- 1.8)","9.6 (3.9 -- -21)"
"PE-Águas Belas","10 (3 -- 16)","Unsure","1.3 (0.7 -- 1.8)","9.9 (3.3 -- -9.6)"
"PE-Araripina","35 (22 -- 46)","Likely increasing","1.1 (0.9 -- 1.4)","23 (6.7 -- -16)"
"PE-Arcoverde","22 (11 -- 32)","Unsure","1.1 (0.7 -- 1.5)","22 (5.5 -- -11)"
"PE-Belo Jardim","18 (9 -- 25)","Unsure","1.1 (0.7 -- 1.4)","50 (6.1 -- -7.9)"
"PE-Bezerros","16 (7 -- 23)","Unsure","1.1 (0.7 -- 1.5)","17 (4.7 -- -10)"
"PE-Bom Conselho","9 (2 -- 15)","Unsure","1.1 (0.6 -- 1.6)","69 (4.5 -- -5.1)"
"PE-Bom Jardim","12 (4 -- 18)","Unsure","1.2 (0.7 -- 1.7)","16 (4.1 -- -8.2)"
"PE-Brejo da Madre de Deus","16 (9 -- 24)","Likely increasing","1.3 (0.9 -- 1.8)","8.4 (3.6 -- -25)"
"PE-Cabo de Santo Agostinho","17 (7 -- 23)","Unsure","1 (0.7 -- 1.4)","-930 (7.4 -- -7)"
"PE-Cabrobó","10 (4 -- 16)","Unsure","1.1 (0.7 -- 1.6)","23 (4.3 -- -7.1)"
"PE-Camaragibe","14 (6 -- 21)","Unsure","1.1 (0.7 -- 1.5)","59 (5.4 -- -6.7)"
"PE-Carpina","11 (3 -- 16)","Likely increasing","1.5 (0.9 -- 2.2)","5.7 (2.5 -- -21)"
"PE-Caruaru","81 (63 -- 96)","Unsure","0.9 (0.8 -- 1.1)","-26 (45 -- -9.9)"
"PE-Cupira","14 (6 -- 20)","Unsure","1.1 (0.7 -- 1.5)","28 (5 -- -7.8)"
"PE-Garanhuns","17 (9 -- 24)","Unsure","1.1 (0.7 -- 1.4)","63 (6.7 -- -8.5)"
"PE-Goiana","21 (11 -- 30)","Increasing","1.7 (1.1 -- 2.3)","4.4 (2.5 -- 18)"
"PE-Gravatá","15 (6 -- 22)","Likely increasing","1.3 (0.8 -- 1.8)","8.5 (3.4 -- -17)"
"PE-Ilha de Itamaracá","11 (5 -- 17)","Unsure","1.2 (0.7 -- 1.6)","21 (4.3 -- -7.6)"
"PE-Ipojuca","9 (3 -- 15)","Unsure","1 (0.6 -- 1.4)","-48 (6 -- -5)"
"PE-Jaboatão dos Guararapes","44 (29 -- 55)","Likely decreasing","0.9 (0.7 -- 1.1)","-21 (28 -- -7.7)"
"PE-Limoeiro","12 (4 -- 18)","Unsure","1.1 (0.7 -- 1.6)","25 (4.6 -- -7.6)"
"PE-Olinda","26 (15 -- 35)","Likely decreasing","0.9 (0.7 -- 1.1)","-20 (18 -- -6.3)"
"PE-Palmares","12 (3 -- 20)","Unsure","1 (0.5 -- 1.4)","-90 (5.5 -- -5)"
"PE-Passira","15 (6 -- 22)","Likely increasing","1.3 (0.8 -- 1.8)","10 (3.9 -- -14)"
"PE-Paudalho","10 (3 -- 17)","Unsure","1.2 (0.7 -- 1.7)","14 (3.5 -- -7.1)"
"PE-Paulista","21 (11 -- 29)","Unsure","1 (0.7 -- 1.3)","140 (7.6 -- -8.4)"
"PE-Pesqueira","19 (9 -- 26)","Unsure","1 (0.7 -- 1.2)","-43 (10 -- -6.9)"
"PE-Petrolina","87 (64 -- 104)","Likely decreasing","0.9 (0.8 -- 1.1)","-16 (880 -- -8)"
"PE-Recife","155 (132 -- 179)","Decreasing","0.9 (0.8 -- 1)","-23 (-1900 -- -12)"
"PE-Salgueiro","12 (5 -- 18)","Unsure","1.2 (0.7 -- 1.7)","16 (4.2 -- -8.8)"
"PE-Sanharó","12 (5 -- 18)","Unsure","1.1 (0.7 -- 1.5)","67 (5.3 -- -6.3)"
"PE-Santa Cruz do Capibaribe","46 (31 -- 58)","Unsure","1 (0.8 -- 1.2)","-190 (12 -- -11)"
"PE-São Bento do Una","11 (4 -- 18)","Unsure","1.2 (0.6 -- 1.7)","14 (3.7 -- -8.1)"
"PE-São Caitano","14 (7 -- 22)","Likely increasing","1.3 (0.9 -- 1.8)","10 (3.8 -- -14)"
"PE-Serra Talhada","62 (45 -- 75)","Unsure","0.9 (0.7 -- 1.1)","-24 (33 -- -9)"
"PE-Surubim","19 (9 -- 26)","Unsure","1.1 (0.8 -- 1.5)","23 (5.4 -- -10)"
"PE-Tabira","11 (3 -- 19)","Unsure","1.3 (0.7 -- 2)","8.2 (2.9 -- -10)"
"PE-Tacaratu","16 (7 -- 24)","Unsure","1.2 (0.8 -- 1.6)","19 (4.8 -- -10)"
"PE-Timbaúba","11 (5 -- 17)","Unsure","0.9 (0.5 -- 1.2)","-12 (15 -- -4.4)"
"PE-Vitória de Santo Antão","19 (10 -- 28)","Unsure","1.1 (0.7 -- 1.5)","31 (5.7 -- -8.9)"
