"Region","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no.","Doubling/halving time (days)"
"PB-Alagoa Grande","15 (8 -- 22)","Unsure","1.1 (0.7 -- 1.6)","19 (4.8 -- -9.9)"
"PB-Alagoinha","19 (9 -- 29)","Likely increasing","1.3 (0.9 -- 1.8)","9.1 (3.7 -- -20)"
"PB-Alhandra","16 (7 -- 23)","Likely increasing","1.4 (0.9 -- 1.9)","6.6 (3.1 -- -50)"
"PB-Areia","11 (3 -- 16)","Unsure","1.2 (0.7 -- 1.7)","25 (4.5 -- -7.2)"
"PB-Baía da Traição","11 (5 -- 17)","Unsure","1.1 (0.6 -- 1.5)","21 (4.4 -- -7.5)"
"PB-Bayeux","17 (9 -- 24)","Unsure","1 (0.6 -- 1.3)","-33 (9.5 -- -6.1)"
"PB-Belém","21 (11 -- 29)","Unsure","1.1 (0.8 -- 1.5)","33 (6.1 -- -9.8)"
"PB-Cabedelo","22 (10 -- 30)","Unsure","1 (0.7 -- 1.3)","-330 (8 -- -7.5)"
"PB-Cajazeiras","28 (16 -- 38)","Unsure","1.1 (0.8 -- 1.4)","24 (6.3 -- -13)"
"PB-Campina Grande","91 (73 -- 108)","Decreasing","0.9 (0.7 -- 1)","-15 (-72 -- -8.3)"
"PB-Conceição","27 (15 -- 38)","Increasing","1.6 (1.1 -- 2)","5.2 (2.9 -- 22)"
"PB-Conde","10 (4 -- 16)","Unsure","1.2 (0.7 -- 1.7)","17 (4 -- -7.6)"
"PB-Cuitegi","12 (4 -- 17)","Likely increasing","1.3 (0.8 -- 1.8)","9.6 (3.4 -- -11)"
"PB-Guarabira","38 (23 -- 51)","Unsure","1 (0.7 -- 1.2)","-24 (18 -- -7.1)"
"PB-Gurinhém","12 (5 -- 18)","Unsure","1.2 (0.8 -- 1.7)","13 (4 -- -9.6)"
"PB-Ingá","29 (19 -- 40)","Unsure","1.1 (0.8 -- 1.3)","49 (8 -- -12)"
"PB-Itabaiana","12 (5 -- 18)","Unsure","1 (0.6 -- 1.3)","-110 (6.4 -- -5.7)"
"PB-Itapororoca","16 (8 -- 24)","Unsure","1 (0.7 -- 1.4)","-190 (7.1 -- -6.8)"
"PB-João Pessoa","240 (209 -- 270)","Likely decreasing","0.9 (0.8 -- 1)","-21 (-92 -- -12)"
"PB-Lagoa Seca","13 (6 -- 20)","Likely increasing","1.3 (0.8 -- 1.8)","9.2 (3.5 -- -15)"
"PB-Lucena","10 (3 -- 15)","Unsure","1.2 (0.7 -- 1.8)","17 (4 -- -7.4)"
"PB-Mamanguape","19 (10 -- 27)","Unsure","0.9 (0.6 -- 1.1)","-14 (18 -- -5.3)"
"PB-Mari","29 (11 -- 44)","Unsure","1.1 (0.7 -- 1.5)","27 (5.6 -- -9.3)"
"PB-Patos","36 (25 -- 47)","Unsure","1.1 (0.8 -- 1.4)","34 (7.8 -- -14)"
"PB-Pedras de Fogo","10 (3 -- 15)","Unsure","1.2 (0.7 -- 1.6)","18 (3.9 -- -7)"
"PB-Pombal","14 (6 -- 21)","Likely increasing","1.3 (0.8 -- 1.8)","9.6 (3.6 -- -14)"
"PB-Queimadas","23 (12 -- 34)","Likely increasing","1.3 (0.9 -- 1.7)","11 (4.3 -- -18)"
"PB-Rio Tinto","15 (8 -- 22)","Unsure","1 (0.6 -- 1.3)","-66 (7.9 -- -6.3)"
"PB-Santa Rita","61 (42 -- 77)","Increasing","1.2 (1 -- 1.5)","11 (5.6 -- 84)"
"PB-São Bento","38 (27 -- 51)","Unsure","1 (0.8 -- 1.3)","-84 (12 -- -9.6)"
"PB-Sapé","16 (9 -- 24)","Unsure","1.1 (0.7 -- 1.4)","50 (6.2 -- -8.4)"
"PB-Solânea","11 (3 -- 16)","Unsure","1.3 (0.7 -- 1.8)","11 (3.5 -- -8.9)"
"PB-Sousa","53 (39 -- 68)","Increasing","1.5 (1.1 -- 1.8)","5.4 (3.5 -- 12)"
