"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Rio Formoso",2020-01-16,"nowcast",1,1,1,1,1,1
"PE-Rio Formoso",2020-01-17,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-18,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-19,"nowcast",0,1,0,1,0.5,0.5
"PE-Rio Formoso",2020-01-20,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-21,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-22,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-23,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-24,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-25,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-26,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-27,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-28,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-29,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-30,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-01-31,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Rio Formoso",2020-02-01,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-02,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Rio Formoso",2020-02-03,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-04,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-05,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-06,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-07,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-08,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-09,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-10,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-11,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-12,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-13,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-14,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-15,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-16,"nowcast",0,1,0,0,0,0.25
"PE-Rio Formoso",2020-02-17,"nowcast",0,1,0,1,0.5,0.5
"PE-Rio Formoso",2020-02-18,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Rio Formoso",2020-02-19,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-20,"nowcast",0,1,0,0,0,0.142857142857143
"PE-Rio Formoso",2020-02-21,"nowcast",0,1,0,0,0,0.125
"PE-Rio Formoso",2020-02-22,"nowcast",0,1,0,0,0,0.125
"PE-Rio Formoso",2020-02-23,"nowcast",0,1,0,0,0,0.222222222222222
"PE-Rio Formoso",2020-02-24,"nowcast",0,0,0,0,0,0
"PE-Rio Formoso",2020-02-25,"nowcast",0,1,0,0,0,0.2
