"region","date","type","bottom","top","lower","upper","median","mean"
"PE-Abreu e Lima",2019-12-20,"nowcast",1,1,1,1,1,1
"PE-Abreu e Lima",2019-12-21,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-22,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-23,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-24,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-25,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-26,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-27,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-28,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-29,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-30,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2019-12-31,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-01,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-02,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-03,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-04,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-05,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-06,"nowcast",0,1,0,1,0.5,0.5
"PE-Abreu e Lima",2020-01-07,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-08,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-09,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-10,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-11,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-12,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-13,"nowcast",0,1,0,1,0.5,0.5
"PE-Abreu e Lima",2020-01-14,"nowcast",0,1,0,1,0.5,0.5
"PE-Abreu e Lima",2020-01-15,"nowcast",0,1,0,0,0,0.333333333333333
"PE-Abreu e Lima",2020-01-16,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-17,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-18,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-19,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-20,"nowcast",0,1,0,1,0.5,0.5
"PE-Abreu e Lima",2020-01-21,"nowcast",0,1,0,0,0,0.2
"PE-Abreu e Lima",2020-01-22,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-23,"nowcast",0,1,0,0,0,0.428571428571429
"PE-Abreu e Lima",2020-01-24,"nowcast",0,1,0,0,0,0.125
"PE-Abreu e Lima",2020-01-25,"nowcast",0,1,0,0,0,0.111111111111111
"PE-Abreu e Lima",2020-01-26,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-27,"nowcast",0,1,0,0,0,0.181818181818182
"PE-Abreu e Lima",2020-01-28,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-29,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-01-30,"nowcast",0,1,0,0,0,0.230769230769231
"PE-Abreu e Lima",2020-01-31,"nowcast",0,1,0,0,0,0.142857142857143
"PE-Abreu e Lima",2020-02-01,"nowcast",0,0,0,0,0,0.0666666666666667
"PE-Abreu e Lima",2020-02-02,"nowcast",0,1,0,0,0,0.117647058823529
"PE-Abreu e Lima",2020-02-03,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-02-04,"nowcast",0,0,0,0,0,0
"PE-Abreu e Lima",2020-02-05,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Abreu e Lima",2020-02-06,"nowcast",0,1,0,0,0,0.157894736842105
"PE-Abreu e Lima",2020-02-07,"nowcast",0,1,0,0,0,0.136363636363636
"PE-Abreu e Lima",2020-02-08,"nowcast",0,1,0,0,0,0.166666666666667
"PE-Abreu e Lima",2020-02-09,"nowcast",0,1,0,0,0,0.192307692307692
"PE-Abreu e Lima",2020-02-10,"nowcast",0,1,0,0,0,0.148148148148148
